Country,Financial Satisfaction
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
India,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
USA,1
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
India,2
USA,2
USA,2
USA,2
USA,2
USA,2
USA,2
USA,2
USA,2
USA,2
USA,2
USA,2
USA,2
USA,2
USA,2
USA,2
USA,2
USA,2
USA,2
USA,2
USA,2
USA,2
USA,2
USA,2
USA,2
USA,2
USA,2
USA,2
USA,2
USA,2
USA,2
USA,2
USA,2
USA,2
USA,2
USA,2
USA,2
USA,2
USA,2
USA,2
USA,2
USA,2
USA,2
USA,2
USA,2
USA,2
USA,2
USA,2
USA,2
USA,2
USA,2
USA,2
USA,2
USA,2
USA,2
USA,2
USA,2
USA,2
USA,2
USA,2
USA,2
USA,2
USA,2
USA,2
USA,2
USA,2
USA,2
USA,2
USA,2
USA,2
USA,2
USA,2
USA,2
USA,2
USA,2
USA,2
USA,2
India,3
India,3
India,3
India,3
India,3
India,3
India,3
India,3
India,3
India,3
India,3
India,3
India,3
India,3
India,3
India,3
India,3
India,3
India,3
India,3
India,3
India,3
India,3
India,3
India,3
India,3
India,3
India,3
India,3
India,3
India,3
India,3
India,3
India,3
India,3
India,3
India,3
India,3
India,3
India,3
